Speaker	Vowel	Time	F1.mean	F2.mean	F3.mean	F1.sd	F2.sd	F3.sd	F1.var	F2.var	F3.var	F1.F2.covar	F1.F3.covar	F2.F3.covar
6	UH	t1	625.2692372	1233.954577	2667.233091	50.58092979	52.33662889	76.19415571	2558.430459	2739.122724	5805.549364	-532.4615771	2694.045641	-983.7428788
6	UH	t2	639.7261341	1232.305784	2637.753505	39.56845844	42.99145045	59.66669745	1565.662903	1848.264812	3560.114784	69.30611561	230.1302757	-150.0153291
6	UH	t3	651.8090398	1224.481321	2679.551658	36.97553343	25.55889112	57.53971978	1367.190072	653.2569151	3310.819352	-92.11480657	590.8610451	-413.8800204
7	AE	t1	965.0283713	1904.783595	2780.346531	32.55388352	104.7115467	236.2184958	1059.755332	10964.50801	55799.17774	615.8216758	1473.46276	17101.39966
7	AE	t2	970.1083634	1927.740532	2688.856148	40.29166222	75.62658044	245.5937916	1623.418044	5719.379668	60316.31047	618.2617451	909.1034151	12006.01592
7	AE	t3	970.8122639	1903.066096	2604.156607	29.35861635	117.2112723	271.6598028	861.9283537	13738.48235	73799.04846	1275.156944	-478.3716193	22146.65902
7	AH	t1	883.7720613	1273.958702	2798.733577	47.80058178	80.24264133	117.0654797	2284.895618	6438.881487	13704.32654	2719.088524	-975.096831	-1052.815154
7	AH	t2	885.8940369	1271.772244	2722.528231	64.2416198	118.9905003	170.530412	4126.985715	14158.73917	29080.62142	5640.392739	-3668.34222	-3988.202613
7	AH	t3	864.2206557	1249.938901	2792.243406	63.26122808	79.0769898	151.5742672	4001.982978	6253.170316	22974.75847	4665.329906	-1970.73117	-1512.462592
7	EE	t1	340.6785282	2781.684748	3649.077789	19.36479787	121.112807	179.1635933	374.9953964	14668.31202	32099.59315	179.5029968	-524.0826627	290.2754838
7	EE	t2	337.7437575	2724.657505	3704.010336	25.01715041	139.6844965	227.7120548	625.8578147	19511.75857	51852.7799	1371.031139	-861.5197899	11842.45474
7	EE	t3	375.4770272	2810.424263	3765.69192	26.96414975	145.2370921	132.2050007	727.0653718	21093.81291	17478.16222	1037.010755	1366.296752	9478.178892
7	EH	t1	782.5426566	2052.286746	3033.234672	54.65049563	114.7610492	161.0847191	2986.676673	13170.09842	25948.28673	-4054.185311	-3367.528149	10636.26888
7	EH	t2	803.2631993	1972.835252	2839.888283	46.52937478	163.9802285	242.0860568	2164.982717	26889.51535	58605.65889	-922.2803521	1040.61287	16109.04358
7	EH	t3	813.048291	2003.250667	2782.758936	45.02310338	115.3373456	323.5204628	2027.079838	13302.70329	104665.4898	886.3189475	899.7929053	23754.88211
7	IH	t1	488.7128192	2371.749742	3264.920029	38.94942863	89.11331	152.5879866	1517.057991	7941.182019	23283.09364	-2105.04144	-520.3828328	7149.311447
7	IH	t2	502.3062984	2408.281302	3250.661126	32.24203183	73.42436871	134.1359979	1039.548616	5391.137921	17992.46592	-777.3122211	799.5069783	1476.529435
